DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-10-11,500207,8880,463092,9648,505151,92.04
2021-10-11,500209,3267145,5628061783,3384023,5828273494,96.55
2021-10-11,500210,4585,5342213,11105,13036414,41.29
2021-10-11,500211,37185,304546,42308,345965,87.89
2021-10-11,500213,41454,3782678,44512,4019454,93.13
2021-10-11,500214,11588,26600834,15850,36497977,73.11
2021-10-11,500215,155,158937,210,215644,73.81
2021-10-11,500219,1574880,75751728,2660910,125361787,59.19
2021-10-11,500220,8810,1113584,11442,1441780,77.0
2021-10-11,500223,4809943,18951176,6334943,24959675,75.93
2021-10-11,500227,2852,2886224,9346,9569313,30.52
2021-10-11,500228,873212,582002088,959311,639931645,91.02
2021-10-11,500231,5286,399622,9295,716444,56.87
2021-10-11,500233,50565,64976025,65908,84007266,76.72
2021-10-11,500234,1257,310605,1686,421401,74.56
2021-10-11,500235,4671,1822625,7275,2844262,64.21
2021-10-11,500236,21173,113699,21173,113699,100.0
2021-10-11,500238,2889,6950357,8065,19207550,35.82
2021-10-11,500239,5340,254985,6079,294970,87.84
2021-10-11,500240,11798,693584,11798,693584,100.0
2021-10-11,500241,1391,557912,1391,557912,100.0
2021-10-11,500243,1211,1968239,1870,3083451,64.76
2021-10-11,500245,18027,4724877,30195,7983081,59.7
2021-10-11,500246,1059,32829,1094,33944,96.8
2021-10-11,500247,521850,1011041493,550743,1068576481,94.75
2021-10-11,500248,500,4795,500,4795,100.0
2021-10-11,500249,442,570225,2660,3430670,16.62
2021-10-11,500250,3692,1763853,11814,5705749,31.25
2021-10-11,500251,181956,200763746,199654,220685421,91.14
2021-10-11,500252,507,4220953,974,8124529,52.05
2021-10-11,500253,20051,8895627,58136,25810029,34.49
2021-10-11,500257,214008,202844834,228405,216543008,93.7
2021-10-11,500259,6476,514519,11924,966552,54.31
2021-10-11,500260,6050,6045765,12367,12374630,48.92
2021-10-11,500264,3869,727759,5521,1070141,70.08
2021-10-11,500265,45147,17880470,98881,39331966,45.66
2021-10-11,500266,159,747364,455,2144654,34.94
2021-10-11,500267,19938,2477559,19938,2477559,100.0
2021-10-11,500268,83251,10469343,83251,10469343,100.0
2021-10-11,500271,9596,9552339,33382,33223004,28.75
2021-10-11,500277,1740,9639,1740,9639,100.0
2021-10-11,500279,292566,6809982,292566,6809982,100.0
2021-10-11,500280,7012,3258126,8950,4227786,78.35
2021-10-11,500284,33541,2427193,33541,2427193,100.0
2021-10-11,500285,554269,41930450,1440250,109399081,38.48
2021-10-11,500288,197278,10889746,406910,22614802,48.48
2021-10-11,500290,2074,177854781,2737,235230041,75.78
2021-10-11,500292,12315,3139710,20134,5162217,61.17
2021-10-11,500294,104399,8722537,242235,20436981,43.1
2021-10-11,500295,1128329,332071606,1323410,390285317,85.26
2021-10-11,500296,4346,1907647,4346,1907647,100.0
2021-10-11,500298,4307,9783136,7016,16068606,61.39
2021-10-11,500300,260422,416715639,284738,456500269,91.46
2021-10-11,500302,103333,282902329,134567,368800879,76.79
2021-10-11,500304,8385,2978352,38924,13906531,21.54
2021-10-11,500306,49746,3216079,81113,5257771,61.33
2021-10-11,500307,21390,8079003,26483,9912154,80.77
2021-10-11,500312,3195289,517947345,4183113,680352256,76.39
2021-10-11,500313,3140,36832,3140,36832,100.0
2021-10-11,500314,58569,2331047,124431,4997312,47.07
2021-10-11,500317,7052,123410,8152,143004,86.51
2021-10-11,500319,7835,408752,7835,408752,100.0
2021-10-11,500325,2739151,7314787273,2880808,7697228305,95.08
2021-10-11,500327,241699,1819994,388279,2942417,62.25
2021-10-11,500330,6618,3079025,29672,13828040,22.3
2021-10-11,500331,152589,372787967,165427,404340957,92.24
2021-10-11,500333,6164,5019962,7992,6538911,77.13
2021-10-11,500335,5232,7283468,10422,14575191,50.2
2021-10-11,500336,10323,7177066,18327,13158265,56.33
2021-10-11,500337,551,55045,551,55016,100.0
2021-10-11,500338,11030,1352278,21309,2618586,51.76
2021-10-11,500339,89561,21449860,240032,58031297,37.31
2021-10-11,500343,9223,334795,11335,413928,81.37
2021-10-11,500346,32332,1304597,48031,1805902,67.31
2021-10-11,500350,1735,668322,7077,2693748,24.52
2021-10-11,500354,1928,53695,2036,57603,94.7
2021-10-11,500355,37578,11521415,94191,29101414,39.9
2021-10-11,500356,54878,1168902,66927,1424326,82.0
2021-10-11,500357,15844,381507,15844,381507,100.0
2021-10-11,500358,7150,27241,7150,27241,100.0
2021-10-11,500360,2356,79644,2356,79644,100.0
2021-10-11,500365,134933,2032091,169039,2570444,79.82
2021-10-11,500366,209605,1234856,209605,1234856,100.0
2021-10-11,500367,78460,8222608,95851,10064968,81.86
2021-10-11,500368,6186,6444575,9485,9911287,65.22
2021-10-11,500370,5492,227918,7221,297182,76.06
2021-10-11,500378,24046,2796550,121636,14320453,19.77
2021-10-11,500380,13078,8454927,19530,12658503,66.96
2021-10-11,500387,10218,283752703,10698,297089857,95.51
2021-10-11,500388,1898,53541,1898,53541,100.0
2021-10-11,500390,131658,13701874,131658,13701874,100.0
2021-10-11,500400,4014384,768955256,14225237,2677881989,28.22
2021-10-11,500402,20803,211662,20803,211662,100.0
2021-10-11,500403,3203,3037726,6221,5926714,51.49
2021-10-11,500404,10134,839096,34516,2866270,29.36
2021-10-11,500405,6216,4518100,11042,8060764,56.29
2021-10-11,500407,1475,2473575,1912,3209803,77.14
2021-10-11,500408,5143,32042433,15423,96059850,33.35
2021-10-11,500410,80016,179368945,84706,190020377,94.46
2021-10-11,500411,1702,2414202,3872,5472566,43.96
2021-10-11,500412,82002,24465297,146771,44446354,55.87
2021-10-11,500413,188542,15055079,352931,28563061,53.42
2021-10-11,500414,351199,21265100,395729,23865678,88.75
2021-10-11,500418,6845,739945,11894,1314780,57.55
2021-10-11,500420,49011,150872676,50512,155547188,97.03
2021-10-11,500422,13614,297466,16706,364849,81.49
2021-10-11,500425,784490,316169575,905699,365191993,86.62
2021-10-11,500426,615230,7112059,850205,9704321,72.36
2021-10-11,500429,1397,182309,1961,259067,71.24
2021-10-11,500439,200,622950,245,751281,81.63
2021-10-11,500440,1774191,844397152,1916688,913120167,92.57
2021-10-11,500444,13212,3589040,25942,7184478,50.93
2021-10-11,500449,197629,8458522,312004,13690853,63.34
2021-10-11,500450,16,3493,16,3493,100.0
2021-10-11,500456,184013,6744077,184146,6748950,99.93
2021-10-11,500458,10650,31345,10650,31345,100.0
2021-10-11,500459,112,1531735,183,2517056,61.2
2021-10-11,500460,12805,1841801,12805,1841801,100.0
2021-10-11,500463,216,219708,216,219708,100.0
2021-10-11,500464,9262,1450893,11063,1736913,83.72
2021-10-11,500467,931,175866,2907,552409,32.03
2021-10-11,500469,518242,44672461,1240024,107199209,41.79
2021-10-11,500470,709771,924161492,861232,1123068897,82.41
2021-10-11,500472,3322,11107440,5709,19225630,58.19
2021-10-11,500477,608622,83198628,1269393,173894501,47.95
2021-10-11,500480,10713,9735439,33887,30496533,31.61
2021-10-11,500483,6257,8966594,16902,24327718,37.02
2021-10-11,500488,488,10751665,1178,25890043,41.43
2021-10-11,500490,1095,5150059,2941,13916349,37.23
2021-10-11,500493,298220,229041078,363117,279135811,82.13
2021-10-11,500495,10603,15833991,38183,57636867,27.77
2021-10-11,500500,376123,4088458,669056,6940570,56.22
2021-10-11,500510,664509,1147217507,699594,1208340330,94.98
2021-10-11,500520,857901,753961011,988039,870526530,86.83
2021-10-11,500530,1122,19971713,4154,74799301,27.01
2021-10-11,500540,8212,32287,8212,32287,100.0
2021-10-11,500547,969256,436504730,1169256,527015046,82.9
2021-10-11,500550,71176,158303334,74442,165563915,95.61
2021-10-11,500570,4304135,1739049813,10196646,4148093099,42.21
2021-10-11,500575,6093,7935828,37897,49437720,16.08
2021-10-11,500620,15729,5872423,26145,9713466,60.16
2021-10-11,500645,31238,12904418,50746,21191799,61.56
2021-10-11,500650,2672,2895914,12055,13212254,22.16
2021-10-11,500655,20949,18897608,20949,18897608,100.0
2021-10-11,500660,2091,3088407,3005,4459318,69.58
2021-10-11,500670,22818,10637752,77346,36189656,29.5
2021-10-11,500672,5061,4065249,8513,6854471,59.45
2021-10-11,500674,1117,8934716,1439,11513435,77.62
2021-10-11,500680,2837,15601089,3924,21715313,72.3
2021-10-11,500690,67681,8669937,167187,21710291,40.48
2021-10-11,500696,788777,2082575039,811271,2142199373,97.23
2021-10-11,500710,463,1032815,711,1591804,65.12
2021-10-11,500730,86673,27210989,199606,62526214,43.42
2021-10-11,500770,56712,54900052,149061,145403499,38.05
2021-10-11,500777,67342,9057499,125048,16774408,53.85
2021-10-11,500780,13255,1965905,13255,1965905,100.0
2021-10-11,500790,32274,612852322,34097,647654749,94.65
2021-10-11,500800,631988,517239025,699482,572713243,90.35
2021-10-11,500820,363876,1203277044,424869,1406272920,85.64
2021-10-11,500825,107607,417569206,138245,536301838,77.84
2021-10-11,500830,108049,182372470,112312,189633614,96.2
2021-10-11,500840,134493,19037485,389690,55883914,34.51
2021-10-11,500850,222858,46087035,1063855,221039558,20.95
2021-10-11,500870,33651,4785173,89829,12860934,37.46
2021-10-11,500875,3006838,698850512,3476199,808729807,86.5
2021-10-11,500877,462844,111337125,864817,208564292,53.52
2021-10-11,500878,29266,40752905,50146,70194006,58.36
2021-10-11,500890,3281,294660,3281,294660,100.0
2021-10-11,500940,63923,14862098,113845,26502157,56.15
2021-10-11,501148,67,16847,67,16847,100.0
2021-10-11,501150,82835,3387952,206875,8628771,40.04
2021-10-11,501242,953,5242,953,5241,100.0
2021-10-11,501295,264,19946,851,65340,31.02
2021-10-11,501298,503,844462,573,961341,87.78
2021-10-11,501301,12166,17723429,26474,39118201,45.95
2021-10-11,501311,225,1197,225,1197,100.0
2021-10-11,501314,153090,18294255,153090,18294255,100.0
2021-10-11,501343,361,8989,383,9547,94.26
2021-10-11,501370,300,24315,409,32599,73.35
2021-10-11,501391,336,54836,343,56574,97.96
2021-10-11,501421,781,156926,781,156926,100.0
2021-10-11,501423,3613,7170902,4543,9047026,79.53
2021-10-11,501425,1836,2121957,5084,5874980,36.11
2021-10-11,501430,102,62848,111,67975,91.89
2021-10-11,501455,76182,10410271,159599,22042873,47.73
2021-10-11,501477,22,2566,22,2566,100.0
2021-10-11,501622,2191,42805,2191,42805,100.0
2021-10-11,501700,1615,29151,1749,31719,92.34
2021-10-11,501831,14054,4132579,24420,7151679,57.55
2021-10-11,501833,16643,164384,16643,164384,100.0
2021-10-11,501848,66712,3038731,66712,3038731,100.0
2021-10-11,501945,814,1515,814,1514,100.0
2021-10-11,502015,24534,414625,28873,494305,84.97
2021-10-11,502090,18797,5529138,26266,7858765,71.56
2021-10-11,502137,4394,3363607,8079,6167802,54.39
2021-10-11,502157,4736,2116045,10287,4613126,46.04
2021-10-11,502168,87234,22737543,247369,63726955,35.26
2021-10-11,502175,33075,3097474,52950,4989752,62.46
2021-10-11,502180,27236,2157092,43224,3424095,63.01
2021-10-11,502219,130748,46657424,147767,52084640,88.48
2021-10-11,502250,1,181,1,181,100.0
2021-10-11,502271,355,3245,355,3245,100.0
2021-10-11,502281,3363,19170,3739,21326,89.94
2021-10-11,502294,201,7608,201,7609,100.0
2021-10-11,502330,2416,586726,2756,669737,87.66
2021-10-11,502355,139056,359938809,148249,383548586,93.8
2021-10-11,502420,90448,2736052,139014,4231224,65.06
2021-10-11,502445,953,12990,1251,17674,76.18
2021-10-11,502448,748282,2072742,1009396,2755186,74.13
2021-10-11,502450,1187,218527,1611,296956,73.68
2021-10-11,502460,12,627,12,627,100.0
2021-10-11,502563,4555,10803,4555,10803,100.0
2021-10-11,502587,2239,217295,2876,280890,77.85
2021-10-11,502589,200,4340,200,4340,100.0
2021-10-11,502742,767109,3835545,1346800,6766638,56.96
2021-10-11,502820,3713,193703,3713,193703,100.0
2021-10-11,502865,2734,12008959,3378,14949359,80.94
2021-10-11,502873,9503,925593,10427,1035689,91.14
2021-10-11,502893,1550,66263,1550,69637,100.0
2021-10-11,502933,235,4394,235,4394,100.0
2021-10-11,502937,58962,4091963,132388,9161722,44.54
2021-10-11,502958,124,389336,184,578246,67.39
2021-10-11,502986,3934,7693921,9302,18222071,42.29
2021-10-11,503031,41316,539555,41316,539555,100.0
2021-10-11,503092,479,8202,479,8202,100.0
2021-10-11,503100,3740,3659964,13324,13021025,28.07
2021-10-11,503101,8297,818914,12845,1293991,64.59
2021-10-11,503127,72,523962,72,523962,100.0
2021-10-11,503162,6896,1083707,12473,1952540,55.29
2021-10-11,503169,1016,303226,2680,808485,37.91
2021-10-11,503229,119,9027,127,9585,93.7
2021-10-11,503310,5690,745675,8422,1119727,67.56
2021-10-11,503349,12,36302,15,45812,80.0
2021-10-11,503624,58645,735995,74985,912173,78.21
2021-10-11,503641,10478,312170,10478,312170,100.0
2021-10-11,503657,41998,578947,41998,578947,100.0
2021-10-11,503659,339,18218,339,18218,100.0
2021-10-11,503663,83145,1247175,83145,1247175,100.0
2021-10-11,503669,99,1080,99,1079,100.0
2021-10-11,503675,84053,89937,120098,126171,69.99
2021-10-11,503691,995,31809,995,31809,100.0
2021-10-11,503722,2491,480639,3075,604690,81.01
2021-10-11,503772,18,270,18,269,100.0
2021-10-11,503776,264,8884,319,10468,82.76
2021-10-11,503804,3002,2017194,3542,2367720,84.75
2021-10-11,503806,11379,137000316,24565,298901284,46.32
2021-10-11,503811,6575,2767747,10915,4555764,60.24
2021-10-11,503816,3455,15019,3455,15019,100.0
2021-10-11,503837,1230,4698,1230,4698,100.0
2021-10-11,503863,6100,19410,6100,19410,100.0
2021-10-11,503960,1555,2084711,1878,2515817,82.8
2021-10-11,504000,77016,4867412,89650,5742123,85.91
2021-10-11,504008,33674,75930,33674,75930,100.0
2021-10-11,504028,68078,5135137,68078,5135137,100.0
2021-10-11,504036,302,56474,482,91522,62.66
2021-10-11,504058,4184,4318725,5385,5468417,77.7
2021-10-11,504067,65399,32542543,105942,52914548,61.73
2021-10-11,504076,18047,180651,18458,184872,97.77
2021-10-11,504080,320,71849,320,71849,100.0
2021-10-11,504084,4,16700,5,20624,80.0
2021-10-11,504092,11817,433094,17199,638567,68.71
2021-10-11,504093,10708,3277719,17298,5323814,61.9
2021-10-11,504112,21344,18409947,21344,18409947,100.0
2021-10-11,504132,5350,1878653,7147,2522665,74.86
2021-10-11,504176,1666,3164734,2225,4217309,74.88
2021-10-11,504180,23741,584014,23741,584014,100.0
2021-10-11,504212,2958,527264,4008,725804,73.8
2021-10-11,504220,25609,179627,25609,179627,100.0
2021-10-11,504240,3311,168199,4885,248180,67.78
2021-10-11,504258,4701,2068676,5759,2580695,81.63
2021-10-11,504273,67846,1161587,67846,1161587,100.0
2021-10-11,504286,2478,151158,2531,153050,97.91
2021-10-11,504335,477065,243303,477065,243303,100.0
2021-10-11,504340,375,1827,375,1827,100.0
2021-10-11,504341,5483,270867,5483,270867,100.0
2021-10-11,504378,73163,586767,73163,586767,100.0
2021-10-11,504380,242,31980,242,31980,100.0
2021-10-11,504392,174,3758,174,3758,100.0
2021-10-11,504605,1965,1241586,4781,3013759,41.1
2021-10-11,504614,5720,4420416,8866,6860742,64.52
2021-10-11,504646,700,124600,1248,220103,56.09
2021-10-11,504648,160,10752,160,10752,100.0
2021-10-11,504697,54505,136957,54505,136957,100.0
2021-10-11,504731,1149,18553,1149,18553,100.0
2021-10-11,504741,7034,1445487,8477,1744130,82.98
2021-10-11,504786,3048,949870,3048,949870,100.0
2021-10-11,504810,205,7995,205,7593,100.0
2021-10-11,504840,453,1405546,623,1953100,72.71
2021-10-11,504879,16745,522444,21130,666250,79.25
2021-10-11,504882,115,635361,115,635361,100.0
2021-10-11,504908,15870,3580272,17881,4147983,88.75
2021-10-11,504918,35409,71359758,44865,87922727,78.92
2021-10-11,504959,2112,5061514,2329,5558625,90.68
2021-10-11,504961,82962,6076967,103956,7229023,79.8
2021-10-11,504966,44420,14447605,162682,53286975,27.3
2021-10-11,504973,2147,1536394,4861,3473305,44.17
2021-10-11,504988,140,44800,140,44721,100.0
2021-10-11,505010,1574,1991504,2634,3330324,59.76
2021-10-11,505036,10224,7202297,15733,10937010,64.98
2021-10-11,505075,22027,431730,40228,802927,54.76
2021-10-11,505141,3220,115333,3220,115333,100.0
2021-10-11,505160,3981,1114481,5421,1522100,73.44
2021-10-11,505163,2409,1139337,4571,2200016,52.7
2021-10-11,505192,1369,830367,4008,2450372,34.16
2021-10-11,505196,18305,3662831,32925,6569965,55.6
2021-10-11,505200,142734,402789223,229125,649855056,62.3
2021-10-11,505212,100,5380,100,5380,100.0
2021-10-11,505216,221,141562,221,142608,100.0
2021-10-11,505232,95,94810,126,124942,75.4
2021-10-11,505242,370,1078661,745,2192980,49.66
2021-10-11,505250,7744,594352,8705,662150,88.96
2021-10-11,505255,4172,19745451,5596,26543501,74.55
2021-10-11,505283,6365,2288536,8723,3166113,72.97
2021-10-11,505285,2,361,2,361,100.0
2021-10-11,505299,1055,134566,1482,189284,71.19
2021-10-11,505302,244,187661,324,251260,75.31
2021-10-11,505324,3625,44697,3849,48671,94.18
2021-10-11,505336,25,25,25,25,100.0
2021-10-11,505343,69189,13837,69189,13837,100.0
2021-10-11,505355,1010,660439,2707,1787279,37.31
2021-10-11,505358,74353,5814405,79199,6138942,93.88
2021-10-11,505368,1826,1167362,2189,1395771,83.42
2021-10-11,505400,3389,202832,5099,307031,66.46
2021-10-11,505412,93,403476,113,489923,82.3
2021-10-11,505509,414,52164,10173,1288109,4.07
2021-10-11,505515,692875,20711647,692875,20711647,100.0
2021-10-11,505523,775941,426768,2152049,1174006,36.06
2021-10-11,505526,27612,2469894,45194,4129938,61.1
2021-10-11,505533,2081,1165569,5561,3108146,37.42
2021-10-11,505537,438678,133555518,1159413,343717174,37.84
2021-10-11,505576,1555,294284,2258,401854,68.87
2021-10-11,505590,16679,1912248,40619,4664617,41.06
2021-10-11,505650,10518,106276,10518,106276,100.0
2021-10-11,505681,1150,416760,1308,475726,87.92
2021-10-11,505688,6332,1070425,8779,1461727,72.13
2021-10-11,505690,251,32354,379,46757,66.23
2021-10-11,505693,3155,268649,4598,400816,68.62
2021-10-11,505700,21251,3629671,88569,15500390,23.99
2021-10-11,505710,132471,9074264,231182,15992570,57.3
2021-10-11,505711,6950,15024,6950,15024,100.0
2021-10-11,505712,4923,585591,11327,1363694,43.46
2021-10-11,505714,108997,17352323,189252,30170155,57.59
2021-10-11,505720,9408,1433309,14805,2265354,63.55
2021-10-11,505725,1383,1767116,1383,1767116,100.0
2021-10-11,505726,1113,1290802,1580,1844100,70.44
2021-10-11,505729,74117,4750900,87043,5632251,85.15
2021-10-11,505737,2424,547340,2927,660277,82.82
2021-10-11,505744,7851,2180616,12541,3511022,62.6
2021-10-11,505750,599,282339,737,352157,81.28
2021-10-11,505790,105,757859,205,1473297,51.22
2021-10-11,505797,300,2422,300,2422,100.0
2021-10-11,505800,1588,982575,2818,1752873,56.35
2021-10-11,505827,4873,1243346,8351,2136714,58.35
2021-10-11,505840,1906,17726,2286,21929,83.38
2021-10-11,505850,54916,4253245,115866,8872029,47.4
2021-10-11,505854,5426,876758,5426,876758,100.0
2021-10-11,505872,8039,6784916,9821,8342216,81.86
2021-10-11,505890,414,567822,721,990293,57.42
2021-10-11,505893,367,98650,466,123807,78.76
2021-10-11,505978,873,1165325,1010,1356806,86.44
2021-10-11,506003,562,3361,728,4273,77.2
2021-10-11,506022,22933,1699336,69173,5185072,33.15
2021-10-11,506027,26213,15597,26213,15597,100.0
2021-10-11,506074,71707,2276698,97860,3003378,73.28
2021-10-11,506076,4383,6417808,6278,9144831,69.82
2021-10-11,506079,4510,21384,4510,21384,100.0
2021-10-11,506105,163,15803,202,19461,80.69
2021-10-11,506109,2970,862043,2970,862042,100.0
2021-10-11,506122,218,11902,218,11902,100.0
2021-10-11,506128,3019,79853,4309,111008,70.06
2021-10-11,506134,163,531,163,531,100.0
2021-10-11,506146,992668,774282,1677690,1296426,59.17
2021-10-11,506184,1085,9610,1085,9610,100.0
2021-10-11,506186,2671,43938,2671,43937,100.0
2021-10-11,506194,22868,4006474,30355,5332429,75.34
2021-10-11,506197,24433,2746270,46669,5259442,52.35
2021-10-11,506222,6000,9286200,11251,17306567,53.33
2021-10-11,506235,26618,3046431,47432,5410041,56.12
2021-10-11,506248,17233,2139477,22683,2815485,75.97
2021-10-11,506260,43275,4916040,52058,5931835,83.13
2021-10-11,506261,12424,913786,17208,1278251,72.2
2021-10-11,506285,441,2289011,706,3675021,62.46
2021-10-11,506365,694,16609,694,16609,100.0
2021-10-11,506390,5073,3075253,9174,5627522,55.3
2021-10-11,506395,8914,7639298,29574,25569298,30.14
2021-10-11,506401,15968,45804208,55735,162875225,28.65
2021-10-11,506405,29217,11442839,39877,15550357,73.27
2021-10-11,506414,95000,30034250,105412,32899467,90.12
2021-10-11,506480,70704,23226264,109987,35406995,64.28
2021-10-11,506520,62359,517138,62359,517138,100.0
2021-10-11,506522,322,552923,410,712367,78.54
2021-10-11,506525,3084,623894,6116,1244321,50.43
2021-10-11,506528,266,212721,266,212338,100.0
2021-10-11,506530,27,20819,27,20819,100.0
2021-10-11,506532,6093,1452572,6289,1503708,96.88
2021-10-11,506543,1153,4319,1153,4319,100.0
2021-10-11,506579,468,502141,604,648996,77.48
2021-10-11,506590,55249,13931036,145716,36990591,37.92
2021-10-11,506597,22331,9942878,33208,15118533,67.25
2021-10-11,506605,495,264652,815,454155,60.74
2021-10-11,506618,1030,1608860,5814,9137883,17.72
2021-10-11,506640,60,10650,60,10650,100.0
2021-10-11,506642,137851,6106800,212188,9501669,64.97
2021-10-11,506655,5065,3392284,14008,9444672,36.16
2021-10-11,506685,24255,11670294,32017,15406936,75.76
2021-10-11,506687,5155,11867326,7957,18244500,64.79
2021-10-11,506690,5595,1472884,23309,6147490,24.0
2021-10-11,506734,1917,231957,1937,235189,98.97
