Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
531417,,MEGACOR,MEGA CORPORATION LTD,Active,X ,1.0,INE804B01023,Finance (including NBFCs),Equity
531426,,TNPL,TAMIL NADU NEWSPRINT  PAPERS LTD,Active,A ,10.0,INE107A01015,Paper & Paper Products,Equity
531429,,ADVENT,ADVENT COMPUTER SERVICES LTD,Active,XT,10.0,INE101C01022,IT Software Products,Equity
531431,,SHAKTIPUMP,SHAKTI PUMPS INDIA LTD,Active,B ,10.0,INE908D01010,Industrial Machinery,Equity
531433,,SUNGOLD,SUNGOLD CAPITAL LTD,Active,XT,10.0,INE271D01013,Finance (including NBFCs),Equity
531436,,SAFFRON,SAFFRON INDUSTRIES LIMITED,Active,XT,10.0,INE474D01013,Paper & Paper Products,Equity
531437,,PWASML,PRAKASH WOOLLEN  SYNTHETIC MILLS LTD,Active,X ,10.0,INE523I01016,Textiles,Equity
531444,,VARDHMAN,VARDHMAN CONCRETE LIMITED,Active,XT,10.0,INE115C01014,Cement & Cement Products,Equity
531449,,GRMOVER,GRM OVERSEAS LTD,Active,X ,10.0,INE192H01012,Other Agricultural Products,Equity
531453,,MOHITIND,MOHIT INDUSTRIES LTD,Active,B ,10.0,INE954E01012,Textiles,Equity
531454,,POLYLINK,POLYLINK POLYMERS INDIA LTD,Active,X ,5.0,INE323D01020,Fibres & Plastics,Equity
531456,,MINAXI,MINAXI TEXTILES LTD,Active,X ,1.0,INE952C01028,Textiles,Equity
531460,,CONTICON,CONTINENTAL CONTROLS LTD,Active,XT,10.0,INE545B01022,Other Elect.Equip./ Prod.,Equity
531465,,NOUVEAU,NOUVEAU GLOBAL VENTURES LTD,Active,X ,10.0,INE317B01034,Comm.Trading  & Distribution,Equity
531471,,DUKEOFS,DUKE OFFSHORE LTD,Active,X ,10.0,INE397G01019,Oil Equipment & Services,Equity
531472,,CYBELEIND,CYBELE INDUSTRIES LTD,Active,X ,10.0,INE183D01010,Other Elect.Equip./ Prod.,Equity
531489,,CGVAK,CGVAK SOFTWARE  EXPORTS LTD,Active,X ,10.0,INE084D01010,IT Software Products,Equity
531494,,NAVBLDR,NAVKAR BUILDERS LTD,Active,XT,10.0,INE268H01010,Realty,Equity
531496,,OMKAR,OMKAR OVERSEAS LTD,Active,X ,10.0,INE680D01015,Textiles,Equity
531497,,MADHUCON,MADHUCON PROJECTS LTD,Active,B ,1.0,INE378D01032,Construction & Engineering,Equity
531499,,SYBLY,SYBLY INDUSTRIES LTD,Active,XT,10.0,INE080D01042,Textiles,Equity
531500,,RAJESHEXPO,RAJESH EXPORTS LTD,Active,A ,1.0,INE343B01030,Other Apparels & Accessories,Equity
531502,,ESARIND,ESAAR INDIA LTD,Active,X ,10.0,INE404L01039,Misc.Commercial Services,Equity
531503,,MARIS,MARIS SPINNERS LTD,Active,XT,10.0,INE866D01010,Textiles,Equity
531505,,INDERGR,INDERGIRI FINANCE LTD,Active,X ,10.0,INE628F01019,Finance (including NBFCs),Equity
531506,,SKRABUL,SHUKRA BULLIONS LTD,Active,X ,10.0,INE561E01015,Misc.Commercial Services,Equity
531508,,EVEREADY,EVEREADY INDUSTRIES INDIA LTD,Active,A ,5.0,INE128A01029,Non-Durable Household Prod.,Equity
531509,,STEP2COR,STEP TWO CORPORATION LTD,Active,XT,10.0,INE623D01015,Other Financial Services,Equity
531515,,MAHANIN,MAHAN INDUSTRIES LTD,Active,XT,10.0,INE735D01033,Comm.Trading  & Distribution,Equity
531518,,VIKASPROP,VIKAS PROPPANT  GRANITE LTD,Active,B ,1.0,INE767B01022,Other Agricultural Products,Equity
531521,,DESHRAK,DESH RAKSHAK AUSHDHALAYA LTD,Active,P ,10.0,INE971E01016,Pharmaceuticals,Equity
531525,,ACESOFT,ACE SOFTWARE EXPORTS LTD,Active,X ,10.0,INE849B01010,IT Software Products,Equity
531531,,HATSUN,HATSUN AGRO PRODUCT LTD,Active,A ,1.0,INE473B01035,Packaged Foods,Equity
531533,,ECOM,ECOM INFOTECH I LTD,Active,XT,10.0,INE578B01015,IT Consulting & Software,Equity
531539,,RISHDIGA,RISHABH DIGHA STEEL  ALLIED PRODUCTS LTD,Active,X ,10.0,INE864D01015,Iron & Steel/Interm.Products,Equity
531540,,MAINFRA,MARUTI INFRASTRUCTURE LTD,Active,X ,10.0,INE392G01010,Construction & Engineering,Equity
531541,,KOBO,KOBO BIOTECH LTD,Active,Z ,10.0,INE881A01015,Commodity Chemicals,Equity
531543,,JINDWORLD,JINDAL WORLDWIDE LTD,Active,B ,1.0,INE247D01039,Textiles,Equity
531548,,SOMANYCERA,SOMANY CERAMICS LTD,Active,A ,2.0,INE355A01028,Furniture-Furnishing-Paints,Equity
531550,,JHACC,JHAVERI CREDITS  CAPITAL LTD,Active,X ,10.0,INE865D01012,Other Financial Services,Equity
531552,,RAGHUTOB,RAGHUNATH TOBACCO COLTD,Active,XT,10.0,INE754B01012,Realty,Equity
531553,,DRL,DISHA RESOURCES LTD,Active,XT,10.0,INE193D01019,Misc.Commercial Services,Equity
531556,,CORALFINAC,CORAL INDIA FINANCE  HOUSING LTD,Active,B ,2.0,INE558D01021,Housing Finance ,Equity
531560,,AROMAENT,AROMA ENTERPRISES INDIA LTD,Active,Z ,10.0,INE371M01012,Misc.Commercial Services,Equity
531574,,VASINFRA,VAS INFRASTRUCTURE LTD,Active,XT,10.0,INE192C01013,Realty,Equity
531578,,KMFBLDR,KMF BUILDERS  DEVELOPERS LTD,Active,X ,5.0,INE580H01026,Realty,Equity
531582,,BERYLSE,BERYL SECURITIES LTD,Active,XT,10.0,INE508J01015,Finance (including NBFCs),Equity
531583,,RAP,RAP MEDIA LTD,Active,X ,10.0,INE483D01014,Finance (including NBFCs),Equity
531585,,DEVINE,DEVINE IMPEX LTD,Active,XT,10.0,INE455C01014,Comm.Trading  & Distribution,Equity
531591,,BAMPSL,BAMPSL SECURITIES LTD,Active,XT,10.0,INE802A01037,Finance (including NBFCs),Equity
531592,,GENPHARMA,GENERIC PHARMASEC LTD,Active,X ,1.0,INE861N01036,Specialty Chemicals,Equity
531594,,INCON,INCON ENGINEERS LTD,Active,XT,10.0,INE507D01010,Industrial Machinery,Equity
531595,,CGCL,CAPRI GLOBAL CAPITAL LIMITED,Active,A ,2.0,INE180C01026,Finance (including NBFCs),Equity
531599,,FDC,FDC LTD,Active,A ,1.0,INE258B01022,Pharmaceuticals,Equity
531600,,GOGIACAP,GOGIA CAPITAL SERVICES LIMITED,Active,XT,10.0,INE832C01014,Other Financial Services,Equity
531608,,GORANIN,GORANI INDUSTRIES LTD,Active,X ,10.0,INE792J01015,Houseware,Equity
531609,,KGPETRO,KG PETROCHEM LTD,Active,XT,10.0,INE902G01016,Containers & Packaging,Equity
531613,,MAL,MEYER APPAREL LTD,Active,XT,3.0,INE100C01024,Other Apparels & Accessories,Equity
531616,,STARCOM,STARCOM INFORMATION TECHNOLOGY LTD,Active,XT,10.0,INE347I01010,IT Consulting & Software,Equity
531621,,CENTERAC,CENTERAC TECHNOLOGIES LTD,Active,XT,1.0,INE157B01026,Internet Software & Services,Equity
531624,,COUNCODOS,COUNTRY CONDOS LTD,Active,T ,1.0,INE695B01025,Realty,Equity
531626,,OROSMITHS,OROSIL SMITHS INDIA LTD,Active,X ,1.0,INE628B01034,Other Apparels & Accessories,Equity
531628,,TEJASSVI,TEJASSVI AAHARAM LTD,Active,P ,10.0,INE173E01019,Textiles,Equity
531633,,LINCOPH,LINCOLN PHARMACEUTICALS LTD,Active,A ,10.0,INE405C01035,Pharmaceuticals,Equity
531635,,SILVOAK,SILVER OAK INDIA LTD,Active,XT,10.0,INE870J01019,Breweries & Distilleries,Equity
531637,,PRAVEG,PRAVEG COMMUNICATIONS INDIA LTD,Active,X ,10.0,INE722B01019,Advertising & Media,Equity
531638,,SURAJLTD,SURAJ LTD,Active,X ,10.0,INE713C01016,Iron & Steel Products,Equity
531640,,SICL,SUVIDHA INFRAESTATE CORPORATION LIMITED,Active,P ,10.0,INE936N01010,Realty,Equity
531642,,MARICO,MARICO LTD,Active,A ,1.0,INE196A01026,Personal Products,Equity
531644,,TOKYOFIN,TOKYO FINANCE LTD,Active,X ,10.0,INE546D01018,Finance (including NBFCs),Equity
531648,,MAHAVIRIND,MAHAVIR INDUSTRIES LIMITED,Active,XT,5.0,INE987M01023,Copper,Equity
531651,,NATGENI,NATIONAL GENERAL INDUSTRIES LTD,Active,XT,10.0,INE654H01011,Iron & Steel/Interm.Products,Equity
531652,,THIRDFIN,THIRDWAVE FINANCIAL INTERMEDIARIES LTD,Active,XT,10.0,INE528C01018,Finance (including NBFCs),Equity
531658,,TRIJAL,TRIJAL INDUSTRIES LTD,Active,X ,10.0,INE454E01013,Finance (including NBFCs),Equity
531661,,HITTCO,HITTCO TOOLS LTD,Active,X ,10.0,INE863C01019,Industrial Machinery,Equity
531667,,RRMETAL,RR METALMAKERS INDIA LTD,Active,X ,10.0,INE117K01013,Comm.Trading  & Distribution,Equity
531668,,VISIONCO,VISION CORPORATION LTD,Active,XT,10.0,INE661D01015,Movies & Entertainment,Equity
531672,,INANISEC,INANI SECURITIES LTD,Active,XT,10.0,INE224C01014,Other Financial Services,Equity
531673,,ANKIN,ANKA INDIA LTD,Active,X ,10.0,INE067C01025,Footwear,Equity
531676,,VAGHANI,VAGHANI TECHNOBUILD LTD,Active,X ,10.0,INE554H01021,Packaged Foods,Equity
531677,,ARISINT,ARIS INTERNATIONAL LTD,Active,P ,10.0,INE588E01026,IT Consulting & Software,Equity
531680,,MAYUR,MAYUR LEATHER PRODUCTS LTD,Active,XT,10.0,INE799E01011,Other Apparels & Accessories,Equity
531686,,ADVIKLA,ADVIK LABORATORIES LTD,Active,X ,10.0,INE537C01019,Pharmaceuticals,Equity
531687,,KGL,KARUTURI GLOBAL LTD,Active,Z ,1.0,INE299C01024,Other Agricultural Products,Equity
531688,,PRITHVIEXCH,PRITHVI EXCHANGE INDIA LTD,Active,X ,10.0,INE621B01021,Other Financial Services,Equity
531692,,KHYATI,KHYATI MULTIMEDIAENTERTAINMENT LTD,Active,XT,10.0,INE593B01030,Hotels,Equity
531694,,RAINBOWF,RAINBOW FOUNDATIONS LTD,Active,X ,10.0,INE230F01014,Realty,Equity
531716,,TRICOMFRU,TRICOM FRUIT PRODUCTS LIMITED,Active,X ,10.0,INE843F01014,Other Food Products,Equity
531717,,VIDHIING,VIDHI SPECIALTY FOOD INGREDIENTS LTD,Active,B ,1.0,INE632C01026,Specialty Chemicals,Equity
531719,,BHAGCHEM,BHAGIRADHA CHEMICALS  INDUSTRIES LTD,Active,X ,10.0,INE414D01019,Agrochemicals,Equity
531726,,PANCHSHEEL,PANCHSHEEL ORGANICS LTD,Active,XT,10.0,INE316G01019,Pharmaceuticals,Equity
531727,,MENNPIS,MENON PISTONS LTD,Active,X ,1.0,INE650G01029,Auto Parts & Equipment,Equity
531735,,PRISMFN,PRISM FINANCE LTD,Active,P ,10.0,INE429Q01019,Finance (including NBFCs),Equity
531737,,GREENCREST,GREENCREST FINANCIAL SERVICES LIMITED,Active,X ,1.0,INE414C01029,Misc.Commercial Services,Equity
531739,,GENNEX,GENNEX LABORATORIES LTD,Active,X ,1.0,INE509C01026,Pharmaceuticals,Equity
531743,,HIRAUTO,HIRA AUTOMOBILES LTD,Active,P ,10.0,INE258Z01013,Comm.Trading  & Distribution,Equity
531744,,GINISILK,GINI SILK MILLS LTD,Active,X ,10.0,INE548B01018,Comm.Trading  & Distribution,Equity
531746,,PRAENG,PRAJAY ENGINEERS SYNDICATE LTD,Active,B ,10.0,INE505C01016,Realty,Equity
531752,,SUNTECHNO,SUN TECHNO OVERSEAS LTD,Active,XT,1.0,INE703D01023,Comm.Trading  & Distribution,Equity
531758,,GKCONS,GKCONSULTANTS LTD,Active,XT,10.0,INE131D01019,Finance (including NBFCs),Equity
531761,,APOLLOPIPES,APOLLO PIPES LTD,Active,A ,10.0,INE126J01016,Plastic Products,Equity
531762,,UNJHAFOR,UNJHA FORMULATIONS LTD,Active,XT,10.0,INE576D01015,Pharmaceuticals,Equity
531768,,POLYMED,POLY MEDICURE LTD,Active,A ,5.0,INE205C01021,Medical Equipment,Equity
531771,,TOWASOK,TOWA SOKKI LTD,Active,XT,10.0,INE311M01018,Other Elect.Equip./ Prod.,Equity
531775,,CISTRO,CISTRO TELELINK LTD,Active,XT,1.0,INE365C01023,Comm.Trading  & Distribution,Equity
531778,,KACHCHH,KACHCHH MINERALS LTD,Active,X ,10.0,INE059E01010,Mining,Equity
531780,,KACL,KAISER CORPORATION LIMITED,Active,X ,1.0,INE229G01022,Comm.Trading  & Distribution,Equity
531784,,KCLINFRA,KCL INFRA PROJECTS LTD,Active,XT,2.0,INE469F01026,Construction & Engineering,Equity
531795,,ATULAUTO,ATUL AUTO LTD,Active,B ,5.0,INE951D01028,2/3 Wheelers,Equity
531797,,SCANPRO,SCAN PROJECTS LTD,Active,XT,10.0,INE393D01015,Cement & Cement Products,Equity
531802,,PRERINFRA,PRERNA INFRABUILD LTD,Active,X ,10.0,INE426H01014,Realty,Equity
531810,,METALCO,METAL COATINGS INDIA LTD,Active,X ,10.0,INE161E01014,Iron & Steel Products,Equity
531812,,SGNTE,SGN TELECOMS LTD,Active,XT,1.0,INE266C01023,Other Elect.Equip./ Prod.,Equity
531813,,GANGAPA,GANGA PAPERS INDIA LTD,Active,XT,10.0,INE278O01015,Paper & Paper Products,Equity
531814,,TIRSARJ,TIRUPATI SARJAN LTD,Active,X ,5.0,INE297J01023,Realty,Equity
531819,,NUWAY,NUWAY ORGANIC NATURALS INDIA LTD,Active,XT,10.0,INE414L01012,Comm.Trading  & Distribution,Equity
531821,,MUNOTHFI,MUNOTH FINANCIAL SERVICES LTD,Active,X ,10.0,INE348D01019,Other Financial Services,Equity
531822,,RODIUM,RODIUM REALTY LIMITED,Active,X ,10.0,INE513E01024,Realty,Equity
531832,,NAGTECH,NAGARJUNA AGRI TECH LTD,Active,X ,10.0,INE793H01017,Other Agricultural Products,Equity
531834,,NATHUEC,NATURA HUE CHEM LTD,Active,X ,10.0,INE487B01019,Other Agricultural Products,Equity
531841,,INDUSFINL,INDUS FINANCE LTD,Active,XT,10.0,INE935D01013,Finance (including NBFCs),Equity
531842,,LAHOTIOV,LAHOTI OVERSEAS LTD,Active,X ,2.0,INE515C01023,Comm.Trading  & Distribution,Equity
531846,,TRINITYLEA,TRINITY LEAGUE INDIA LTD,Active,XT,10.0,INE884X01011,Other Financial Services,Equity
531847,,ASTAR,ASIAN STAR COLTD,Active,B ,10.0,INE194D01017,Other Apparels & Accessories,Equity
531859,,ORVENPR,ORIENTAL VENEER PRODUCTS LTD,Active,X ,1.0,INE457G01029,Other Industrial Products,Equity
531861,,JOINDRE,JOINDRE CAPITAL SERVICES LTD,Active,X ,10.0,INE024B01010,Other Financial Services,Equity
531862,,BHARATAGRI,BHARAT AGRI FERT  REALTY LTD,Active,X ,10.0,INE842D01011,Fertilizers,Equity
531867,,UNITINT,UNITECH INTERNATIONAL LTD,Active,X ,10.0,INE929K01011,Comm.Trading  & Distribution,Equity
531869,,SACHEMT,SACHETA METALS LTD,Active,XT,10.0,INE433G01012,Aluminium,Equity
531870,,POPULARES,POPULAR ESTATE MANAGEMENT LTD,Active,XT,10.0,INE370C01015,Construction & Engineering,Equity
531878,,ANJANIFIN,ANJANI FINANCE LTD,Active,X ,10.0,INE283D01018,Finance (including NBFCs),Equity
531879,,PIONDIST,PIONEER DISTILLERIES LTD,Active,B ,10.0,INE889E01010,Breweries & Distilleries,Equity
531881,,GMETCOAL,GUJARAT METALLIC COAL  COKE LTD,Active,Z ,100.0,INE146F01020,Comm.Trading  & Distribution,Equity
531885,,SVAINDIA,SVA INDIA LTD,Active,P ,10.0,INE763K01014,Comm.Trading  & Distribution,Equity
531888,,REXNORD,REXNORD ELECTRONICS  CONTROLS LTD,Active,X ,10.0,INE687C01012,Industrial Machinery,Equity
531892,,KHANDSE,KHANDWALA SECURITIES LTD,Active,B ,10.0,INE060B01014,Other Financial Services,Equity
531893,,SAWABUSI,SAWACA BUSINESS MACHINES LTD,Active,X ,10.0,INE248B01015,Misc.Commercial Services,Equity
531900,,CCLINTER,CCL INTERNATIONAL LTD,Active,XT,10.0,INE778E01031,Comm.Trading  & Distribution,Equity
